DYRK1A,ITSN1,BDNF,NR1,NR2A,pAKT,pBRAF,pCAMKII,pCREB,pELK,pERK,pJNK,PKCA,pMEK,pNR1,pNR2A,pNR2B,pPKCAB,pRSK,AKT,BRAF,CAMKII,CREB,ELK,ERK,GSK3B,JNK,MEK,TRKA,RSK,APP,Bcatenin,SOD1,MTOR,P38,pMTOR,DSCR1,AMPKA,NR2B,pNUMB,RAPTOR,TIAM1,pP70S6,NUMB,P70S6,pGSK3B,pPKCG,CDK5,S6,ADARB1,AcetylH3K9,RRP1,BAX,ARC,ERBB4,nNOS,Tau,GFAP,GluR3,GluR4,IL1B,P3525,pCASP9,PSD95,SNCA,Ubiquitin,pGSK3B_Tyr216,SHH,pS6,SYP,CaNA,class_label
0.31,0.4681,0.283,2.4157,4.0808,0.2326,0.1712,5.1051,0.2041,1.2909,0.3704,0.319,0.2755,0.2683,0.867,0.8493,1.7889,1.1361,0.3769,0.6421,0.2615,0.3615,0.1698,0.9993,2.2853,1.1154,0.231,0.2574,0.6593,0.1486,0.351,2.1753,0.5163,0.4687,0.4732,0.8245,0.5259,0.3215,0.5465,0.3087,0.2888,0.3594,0.3809,0.1727,1.1607,0.1326,1.6071,0.3389,0.2758,1.1416,0.0728,0.1541,0.1778,0.1345,0.1648,0.2019,0.1494,0.1135,0.2625,0.1421,0.5971,0.2679,1.732,2.4795,0.1682,1.437,0.8798,0.2685,0.1345,0.4833,1.051,0
0.4076,0.541,0.255,1.6036,2.3567,0.2462,0.1776,2.2224,0.1914,1.1726,0.5712,0.2736,0.2586,0.2419,0.579,0.5393,1.1393,0.759,0.3524,0.4743,0.3657,0.3167,0.191,0.6769,1.8407,0.7519,0.2148,0.2326,0.5662,0.1514,0.4055,1.4581,0.2969,0.3621,0.3617,0.6874,0.5705,0.2624,0.4843,0.3314,0.2493,0.3421,0.2,0.1478,0.9867,0.1557,1.0315,0.32,0.3831,0.5971,0.1678,0.1643,0.1451,0.1273,0.1708,0.1652,0.1763,0.1257,0.2689,0.1542,0.6337,0.3026,1.7706,2.2802,0.192,1.1522,0.7778,0.2416,0.1273,0.5086,1.4245,1
0.2295,0.3844,0.3359,1.8939,2.6637,0.2855,0.2476,4.3165,0.2739,1.4137,0.3503,0.3926,0.3111,0.3325,0.7289,1.0089,1.3527,1.1947,0.4737,0.633,0.325,0.4332,0.2752,0.9417,1.3619,0.8489,0.2592,0.3012,0.6091,0.2302,0.3639,1.5709,0.6821,0.4966,0.5304,0.8932,0.6811,0.3465,0.6306,0.3574,0.4004,0.3772,0.4662,0.1481,0.8403,0.1779,1.9306,0.1812,0.2668,1.1464,0.2066,0.2615,0.1686,0.1296,0.1788,0.1742,0.2122,0.1524,0.2109,0.0942,0.8423,0.3474,2.3223,2.5531,0.2367,1.7329,0.9213,0.3147,0.1296,0.5577,1.1964,0
0.3424,0.485,0.3081,2.0598,3.2793,0.2435,0.1918,2.3445,0.1879,1.2595,0.4031,0.3116,0.3561,0.2779,0.7507,0.4951,1.3861,2.1229,0.468,0.6263,0.346,0.3517,0.1833,0.927,2.4084,1.3033,0.2597,0.2764,0.6739,0.1695,0.3606,1.7532,0.3,0.4459,0.354,0.6774,0.6036,0.3344,0.551,0.3685,0.316,0.4039,0.3431,0.1555,0.6345,0.1642,2.1002,0.3151,0.4121,1.5447,0.2785,0.1636,0.1793,0.1022,0.1465,0.1337,0.1599,0.1224,0.1883,0.0931,0.4964,0.3215,1.4672,1.8954,0.1437,1.1398,0.9012,0.2173,0.1022,0.4797,1.7631,0
0.1847,0.3001,0.2304,1.6052,2.354,0.1748,0.1407,2.5824,0.159,0.8243,0.2082,0.2289,0.2129,0.2099,0.6482,0.5419,1.1142,0.7278,0.3983,0.5694,0.1839,0.3036,0.1449,0.9286,1.4275,0.6049,0.1693,0.1896,0.4267,0.1327,0.261,1.4793,0.5466,0.3877,0.4181,0.6284,0.4499,0.2653,0.4574,0.2458,0.2578,0.3362,0.3243,0.1699,0.8672,0.1592,1.2472,0.2447,0.626,0.8516,1.1569,0.202,0.1662,0.1368,0.1855,0.1783,0.6028,0.1492,0.2269,0.1172,0.763,0.3021,1.4782,2.2703,0.2068,1.1602,0.7424,0.2378,0.1368,0.392,1.0148,0
0.8089,1.0426,0.3764,2.5442,4.7258,0.247,0.193,2.6173,0.2193,1.8369,0.9131,0.3115,0.3568,0.2985,0.8723,0.5257,1.723,1.9722,0.5264,0.7033,0.6509,0.3753,0.2238,1.1856,2.9633,1.6882,0.2874,0.3043,0.807,0.18,0.4683,2.6089,0.3444,0.4104,0.3006,0.7494,0.6096,0.3787,0.5464,0.3685,0.3063,0.4441,0.3041,0.1768,0.9491,0.1888,1.7731,0.3215,0.4225,1.1314,0.0898,0.1535,0.1883,0.1031,0.1469,0.1785,0.1924,0.1119,0.2109,0.1129,0.4212,0.2535,1.55,2.0803,0.1171,1.0965,0.9183,0.1763,0.1031,0.4228,1.9237,1
0.3858,0.594,0.3323,2.1104,2.9579,0.2525,0.1798,3.952,0.2419,1.2761,0.4957,0.3577,0.4087,0.2953,0.6797,0.7768,1.5095,2.5079,0.5438,0.5741,0.3758,0.3622,0.1813,0.9973,2.1238,1.092,0.25,0.2752,0.7194,0.187,0.4229,1.7523,0.3137,0.3719,0.3318,0.7548,0.5492,0.2899,0.4639,0.3642,0.2761,0.3901,0.5243,0.216,1.0096,0.2006,3.244,0.3251,0.62,0.8821,0.2927,0.2092,0.2084,0.1164,0.1436,0.2055,0.2073,0.1339,0.1888,0.1254,0.4398,0.2971,1.7202,2.086,0.1631,1.3524,0.9345,0.275,0.1164,0.4342,1.7102,1
0.3002,0.5122,0.3203,2.413,4.0896,0.2285,0.1933,3.0946,0.2123,1.3146,0.3088,0.3254,0.332,0.2896,0.9141,0.8486,1.7326,1.1608,0.447,0.7333,0.2106,0.3563,0.1722,1.2549,2.2661,1.0808,0.237,0.2722,0.6696,0.1627,0.4754,2.4965,1.0262,0.5109,0.5422,0.8558,0.6731,0.4496,0.6275,0.3838,0.395,0.5323,0.5136,0.1737,0.7861,0.1577,1.5916,0.2467,0.372,1.3089,0.7654,0.1909,0.2001,0.1219,0.1499,0.1716,0.2891,0.1286,0.2197,0.142,0.4303,0.2719,1.4141,2.0105,0.1575,1.3245,0.6884,0.2075,0.1219,0.4003,0.7497,1
0.2233,0.3698,0.2411,1.9967,3.4866,0.184,0.1475,3.5678,0.1987,0.9227,0.2448,0.2576,0.2446,0.2167,0.7759,0.7583,1.4435,0.8879,0.4416,0.6405,0.1859,0.2948,0.1589,1.1866,2.0236,0.7923,0.1906,0.2107,0.5253,0.1266,0.3378,2.1957,0.7106,0.3878,0.398,0.6796,0.4451,0.3086,0.4772,0.2481,0.2627,0.317,0.3169,0.1949,1.0166,0.149,1.4392,0.2801,0.3912,0.9885,0.7371,0.1688,0.1785,0.1398,0.1771,0.1827,0.3616,0.1274,0.2761,0.1477,0.564,0.2993,1.5967,2.598,0.1693,1.2107,0.7317,0.2247,0.1398,0.4276,1.0815,0
0.8613,1.0395,0.378,2.5584,4.5713,0.2261,0.183,2.509,0.2239,1.9663,1.0056,0.3062,0.3556,0.2803,0.8862,0.5574,1.6787,1.9556,0.5163,0.7415,0.6518,0.3603,0.1986,1.3106,2.3916,1.6124,0.2652,0.3125,0.8289,0.176,0.475,2.5284,0.3378,0.4149,0.3225,0.7353,0.5929,0.3907,0.556,0.3869,0.304,0.4564,0.2399,0.198,0.9988,0.1821,1.5342,0.3209,0.4454,1.092,0.0947,0.1409,0.183,0.1075,0.1479,0.1997,0.1849,0.1055,0.2113,0.1234,0.4839,0.2725,1.7133,2.2181,0.1179,1.0335,0.9308,0.1866,0.1075,0.4662,2.0315,1
0.2821,0.3785,0.3369,1.8709,2.6927,0.2066,0.1999,3.8011,0.1632,1.091,0.294,0.2616,0.3249,0.2497,0.7217,0.4884,1.1854,1.2604,0.395,0.5682,0.2457,0.3237,0.1702,0.8624,1.5218,0.8727,0.2091,0.2504,0.4677,0.154,0.4069,1.5814,0.4261,0.53,0.5131,0.7513,0.6255,0.4304,0.5836,0.4044,0.3965,0.5208,0.6576,0.1447,0.5831,0.161,1.7397,0.2139,0.3009,0.9529,0.3309,0.1717,0.1569,0.0953,0.1393,0.1358,0.1818,0.1227,0.174,0.113,0.4039,0.2984,1.2139,1.6995,0.1662,1.1416,0.7123,0.2247,0.0953,0.387,0.8003,1
0.3859,0.6125,0.3909,2.8589,5.3724,0.2506,0.1943,7.0215,0.2374,1.4931,0.3746,0.3495,0.3962,0.3289,1.0256,0.7721,1.8726,1.7538,0.4739,0.8375,0.2852,0.401,0.1957,1.5621,2.9559,1.2911,0.2637,0.3087,0.8051,0.17,0.5348,3.1664,0.6532,0.5305,0.4675,0.845,0.7091,0.4986,0.7131,0.4596,0.3998,0.6041,0.8245,0.1864,0.8375,0.169,1.7434,0.257,0.3699,1.3187,0.3902,0.1885,0.189,0.1082,0.1493,0.1759,0.2159,0.1299,0.2206,0.1401,0.3801,0.2949,1.2563,1.868,0.1437,1.3678,0.6983,0.2155,0.1082,0.4039,1.0275,1
0.2372,0.3547,0.2598,1.9977,2.5579,0.1963,0.1701,2.1465,0.1875,1.3378,0.2873,0.2694,0.2367,0.2367,0.7524,0.6228,1.2969,0.8483,0.3609,0.7721,0.2564,0.3549,0.1636,0.9723,1.4701,0.728,0.1963,0.21,0.4739,0.1525,0.3443,1.595,0.8693,0.5364,0.5743,0.7184,0.5735,0.3816,0.5683,0.2914,0.3324,0.3943,0.4301,0.1515,0.7357,0.1419,0.9803,0.2311,0.253,0.8389,0.096,0.1628,0.1412,0.1267,0.1606,0.1726,0.1758,0.1108,0.2127,0.1026,0.6333,0.2918,1.358,2.1382,0.2041,1.1341,0.7372,0.3089,0.1267,0.4096,0.8804,0
0.4496,0.648,0.2615,1.7892,2.9918,0.182,0.1434,2.3539,0.1834,1.3628,0.6897,0.2461,0.22,0.2013,0.6448,0.6341,1.3893,0.9087,0.337,0.5663,0.4058,0.2834,0.1489,0.9274,2.4447,0.8877,0.1922,0.2183,0.5787,0.1238,0.3747,1.8015,0.2584,0.3074,0.2695,0.6124,0.5037,0.2604,0.4026,0.3342,0.2333,0.3267,0.1403,0.2053,1.2712,0.1721,0.9957,0.3137,0.4772,0.8605,0.2016,0.1573,0.193,0.1212,0.1533,0.1861,0.1892,0.1238,0.2723,0.1631,0.6691,0.2705,2.0136,2.3767,0.1339,1.125,0.7914,0.2232,0.1212,0.4146,1.6958,1
0.3775,0.5283,0.3796,2.6893,3.978,0.2668,0.2295,5.4411,0.2277,1.6554,0.3933,0.3529,0.3997,0.3286,0.9964,0.6841,1.7151,1.8859,0.4944,0.7671,0.3263,0.4512,0.2116,1.2039,2.2111,1.2031,0.2877,0.2921,0.6895,0.1909,0.5671,2.2903,0.5982,0.6458,0.5832,0.9451,0.9164,0.5708,0.7765,0.5203,0.5089,0.7221,0.9796,0.1649,0.6993,0.1517,1.863,0.2389,0.2017,1.1427,0.3548,0.2376,0.1766,0.1132,0.136,0.1437,0.1978,0.1328,0.1549,0.1269,0.3935,0.2682,1.1653,1.7438,0.157,1.3171,0.6897,0.2167,0.1132,0.3884,0.7813,1
0.2995,0.5421,0.2932,2.4905,3.4373,0.2713,0.2161,5.3941,0.2276,1.3553,0.3224,0.3504,0.2988,0.2941,0.8613,0.797,1.7086,1.1667,0.4397,0.6911,0.2782,0.4265,0.2131,0.9963,1.9703,1.0958,0.2723,0.2981,0.7395,0.2045,0.4299,2.1262,0.5487,0.4812,0.4675,0.833,0.6624,0.3312,0.5728,0.331,0.299,0.3987,0.3788,0.1503,0.9061,0.1434,1.5541,0.2543,0.3069,0.959,0.0546,0.132,0.1585,0.1382,0.1654,0.1858,0.1367,0.1061,0.201,0.0932,0.5741,0.2917,1.374,2.6302,0.1789,1.4113,0.9044,0.3218,0.1382,0.3623,1.1713,1
0.2658,0.3982,0.2953,1.913,2.7153,0.2538,0.1987,2.067,0.1931,1.2096,0.2658,0.2942,0.3139,0.2889,0.751,0.6515,1.2876,0.8704,0.3831,0.581,0.2197,0.3506,0.1785,0.9481,1.4993,0.8047,0.215,0.258,0.5086,0.1633,0.4193,1.6731,0.7584,0.5294,0.5922,0.8234,0.6914,0.452,0.6254,0.3762,0.4419,0.5015,0.5243,0.1555,0.7368,0.1542,1.409,0.253,0.2871,1.0726,0.9001,0.2346,0.183,0.1353,0.1722,0.2021,0.4195,0.1421,0.1871,0.1289,0.5301,0.2969,1.5695,1.9749,0.2005,1.2147,0.7185,0.221,0.1353,0.3966,0.8027,1
0.3357,0.5197,0.366,2.5653,3.4575,0.3265,0.2517,5.1014,0.251,1.5452,0.4602,0.4014,0.3776,0.3561,0.9503,0.8895,1.8493,1.1854,0.4714,0.7643,0.3776,0.469,0.2401,1.0051,2.0663,1.1391,0.2833,0.3418,0.7429,0.2279,0.4422,2.0973,0.6364,0.6248,0.7153,1.0224,0.7112,0.4139,0.7361,0.4024,0.4259,0.483,0.5629,0.1424,0.8676,0.1381,1.4708,0.2432,0.2266,0.8713,0.056,0.1532,0.1584,0.1414,0.1584,0.1798,0.16,0.1277,0.2675,0.1328,0.6438,0.303,1.6978,2.3555,0.2105,1.4573,0.8263,0.3032,0.1414,0.4908,1.0725,0
0.314,0.5031,0.3244,2.369,4.2898,0.2253,0.1821,6.0273,0.2068,1.4622,0.3925,0.3639,0.3094,0.2984,0.9129,1.0574,1.6928,1.4583,0.4318,0.6775,0.2341,0.344,0.1789,1.2424,2.2196,1.0842,0.2215,0.2552,0.6785,0.1429,0.4269,2.2931,0.6282,0.454,0.502,0.8876,0.6462,0.4006,0.5992,0.3671,0.3452,0.4739,0.4045,0.1741,1.0083,0.1495,1.8362,0.2887,0.3649,1.4477,0.1549,0.1783,0.1899,0.1278,0.1458,0.2065,0.183,0.1213,0.2581,0.1497,0.5162,0.2576,1.7409,2.4776,0.1568,1.381,0.8004,0.1927,0.1278,0.4833,0.9775,0
0.2388,0.3841,0.2346,1.44,1.9284,0.1987,0.1526,2.0935,0.1567,0.8377,0.2369,0.2346,0.23,0.2214,0.5187,0.4231,0.8756,1.0407,0.4096,0.5751,0.1991,0.2774,0.1588,0.7676,1.4797,0.7987,0.1823,0.2182,0.4899,0.1377,0.3348,1.4141,0.8521,0.3631,0.3471,0.5265,0.4433,0.2521,0.4128,0.2452,0.24,0.3223,0.4378,0.1768,0.7077,0.17,2.3771,0.3178,0.54,0.8058,0.3268,0.1981,0.1763,0.1268,0.156,0.1837,0.2665,0.1452,0.2342,0.1618,0.6088,0.3165,1.4157,2.066,0.1667,1.2006,0.8791,0.2904,0.1268,0.4175,1.1807,1
0.237,0.4136,0.2961,2.1404,2.7903,0.2414,0.1833,3.2555,0.2277,1.0266,0.2203,0.2959,0.3033,0.276,0.7428,0.565,1.224,1.4792,0.4471,0.6324,0.2545,0.3475,0.1875,0.937,1.951,1.1015,0.2399,0.2915,0.7318,0.1871,0.3705,2.0488,0.7895,0.4067,0.3559,0.65,0.5487,0.3137,0.5124,0.2919,0.2854,0.3511,0.6753,0.1822,0.7548,0.1645,2.8683,0.2987,0.5667,0.7717,0.5884,0.1654,0.1733,0.1177,0.1612,0.1769,0.3534,0.1242,0.1793,0.1115,0.5158,0.3006,1.4116,2.2366,0.1649,1.2832,0.7853,0.2279,0.1177,0.3223,1.3831,1
0.2254,0.3643,0.2471,1.8666,3.4706,0.2142,0.1658,4.8106,0.194,1.0831,0.3168,0.3304,0.2712,0.2556,0.7234,1.0949,1.4687,1.0788,0.4318,0.554,0.2097,0.3062,0.1683,0.9298,1.771,0.8656,0.1962,0.2245,0.5786,0.1517,0.2974,1.9537,0.5794,0.3798,0.3752,0.7674,0.4884,0.3046,0.49,0.2766,0.2702,0.3124,0.3763,0.1696,1.1064,0.1475,1.8246,0.2234,0.3493,1.2884,0.2298,0.1659,0.1892,0.1258,0.1522,0.1706,0.1835,0.1312,0.2206,0.1213,0.5334,0.2658,1.7638,2.4435,0.159,1.5191,0.7464,0.2008,0.1258,0.4847,0.9198,0
0.4255,0.698,0.3804,2.875,5.2797,0.2541,0.1873,6.2637,0.2643,1.3769,0.4519,0.3592,0.3595,0.3168,1.0225,0.9673,1.957,1.5309,0.4986,0.7919,0.3028,0.3659,0.1866,1.6966,3.2255,1.3516,0.2569,0.3315,0.8461,0.1671,0.4942,3.173,0.6749,0.471,0.4179,0.8311,0.6056,0.4019,0.5966,0.407,0.3666,0.5092,0.5658,0.1899,0.9692,0.1651,1.9992,0.279,0.5514,1.3826,0.2271,0.1671,0.18,0.1107,0.1631,0.1965,0.1929,0.1069,0.2552,0.1479,0.4774,0.3164,1.9528,2.3289,0.1311,1.2784,0.8818,0.2011,0.1107,0.5028,1.2828,1
0.5425,0.7579,0.3501,2.6345,4.7356,0.2105,0.1657,3.872,0.1943,1.5316,0.8151,0.315,0.3915,0.2541,0.9554,0.9385,1.7448,2.4779,0.4765,0.7159,0.4863,0.3387,0.1606,1.3982,2.891,1.4694,0.2349,0.27,0.7554,0.1496,0.4114,2.3209,0.3095,0.4723,0.3937,0.7392,0.5422,0.3899,0.5874,0.3466,0.2903,0.4058,0.3547,0.2127,0.9729,0.1631,1.9698,0.303,0.4918,1.7635,0.1243,0.1537,0.1881,0.1286,0.168,0.197,0.1971,0.1286,0.2834,0.1372,0.5426,0.3404,1.6192,2.3862,0.1509,1.1327,0.9808,0.2445,0.1286,0.4384,1.6076,0
0.5313,0.7028,0.3266,2.1543,3.4513,0.2712,0.2032,4.5927,0.2068,1.6172,0.7134,0.3321,0.3301,0.3135,0.727,0.5313,1.3126,1.8206,0.5242,0.6098,0.6054,0.3744,0.1883,0.8782,2.1783,1.3862,0.2732,0.2679,0.7566,0.1959,0.3568,2.0427,0.3515,0.4246,0.3655,0.7137,0.5191,0.337,0.5496,0.3624,0.2852,0.3464,0.482,0.1477,0.7713,0.1618,1.9365,0.2971,0.4352,1.269,0.1523,0.1495,0.1375,0.1118,0.1526,0.1762,0.1827,0.1034,0.1896,0.1113,0.4866,0.2789,1.3631,2.1133,0.142,1.2507,0.9671,0.2414,0.1118,0.4279,1.4555,0
0.5989,0.886,0.4448,2.9183,5.7177,0.2904,0.1972,4.4977,0.2823,1.9989,0.9746,0.4056,0.4508,0.3327,1.0441,1.2913,1.9808,2.7475,0.516,0.8477,0.5282,0.3909,0.2021,2.1853,3.6309,1.5105,0.2804,0.3428,0.9042,0.185,0.4826,2.8548,0.415,0.5504,0.4254,0.9097,0.6907,0.5437,0.6658,0.4659,0.4021,0.5601,0.3886,0.1841,0.9261,0.1782,1.5786,0.291,0.3616,2.3472,0.2877,0.1539,0.1839,0.1186,0.155,0.1657,0.1805,0.118,0.1834,0.1282,0.3779,0.3041,1.5217,1.851,0.1418,0.9987,0.6904,0.2306,0.1186,0.3787,1.3323,0
0.7843,0.9001,0.3612,2.4207,4.3831,0.2398,0.1869,2.543,0.2128,1.6664,0.9579,0.3141,0.3417,0.29,0.8516,0.5092,1.6325,1.8512,0.5142,0.6799,0.5993,0.3702,0.189,1.15,2.8959,1.5972,0.2643,0.2897,0.778,0.1744,0.4505,2.3844,0.3239,0.4048,0.2919,0.7253,0.5892,0.3666,0.5292,0.3662,0.298,0.4217,0.2717,0.1822,0.9587,0.193,1.747,0.3272,0.4186,1.0681,0.0929,0.1525,0.1911,0.1034,0.1489,0.1902,0.1812,0.1102,0.2094,0.1178,0.4329,0.2536,1.5477,2.1526,0.1177,1.0396,0.9365,0.1844,0.1034,0.4108,2.0017,1
